obsid,uid,KIC,ra,dec,SNR_g,SNR_r,Gaiamag,R_Gaia,R_APOKASC,R_TranSR-Net
52506212,G14080029758290,2998253,293.291417,38.107306,266.92,345.52,10.530794,1.503,1.416,1.520287186
52806090,G14073505779907,4672403,296.161708,39.781889,99.27,171.33,11.178277,1.8902,1.795,1.974365831
52808184,G14072616185625,3967859,294.967417,39.047667,116.21,197.82,10.537471,1.2818,1.227,1.260296361
52201040,G14086516531216,7206837,293.765583,42.737944,52.21,71.58,9.706886,1.6553,1.566,1.775009613
52203146,G14077319728848,9025370,293.060917,45.310694,325.97,512,8.78071,1.3703,0.985,1.044168828
52204087,G14086195507400,8241455,294.657917,44.176361,158.02,244.18,10.444975,2.6226,2.392,2.767615348
52207201,G14085913923272,7296438,295.872292,42.881139,118.85,198.09,10.04943,1.3953,1.379,1.4601433
52209034,G14085428946653,9163769,295.3275,45.543778,105.87,167.44,10.054579,1.6293,1.535,1.631700238
52209124,G14076892661053,9289275,295.0945,45.776694,151.26,276.88,9.59918,1.8389,1.707,1.822367515
52211128,G14077568489705,9955598,293.679208,46.85275,84.31,149.08,9.398465,0.9119,0.867,0.944641415
52211167,G14077574521570,10079226,293.469917,47.045722,72.4,102.26,9.996253,1.2011,1.13,1.314993406
52215134,G14077375098200,9225600,294.637183,45.692383,64.91,100.05,10.752236,1.9635,1.824,1.974365831
52215153,G14077556223883,9468847,293.434292,46.075,69.69,112.62,10.422859,1.8742,1.762,1.916311094
52403092,G14083023174203,4049576,289.449917,39.187139,197.77,285.13,11.416161,2.0413,1.876,1.974365831
52404180,G14080331043230,3952580,291.020417,39.016444,119.53,429.69,10.176231,3.012,2.705,3.010591839
52413001,G14085279427614,4842436,293.727708,39.907333,109.23,164.53,11.301325,1.6425,1.552,1.682800334
52413118,G14085291041680,4841753,293.525208,39.991194,104.19,150.76,11.651439,2.2496,2.137,2.215348026
154003233,G14081201269267,6853020,288.673417,42.342667,352.71,458.08,10.645224,2.1636,2.069,2.215348026
154008016,G14087121286052,6689943,291.352792,42.123556,477.88,753.91,10.198229,1.5687,1.474,1.631700238
154008150,G14087112084175,6605673,291.672417,42.061528,302.59,394.48,10.971558,1.6532,1.625,1.757867719
154811205,G14061376198568,12117868,295.251292,50.694861,195.36,321.04,10.465992,1.3545,1.265,1.405844629
154814185,G14078203031133,11138101,292.137708,48.700667,223.24,363.27,10.715726,2.4547,2.285,2.767615348
154816009,G14075234430265,11713510,292.257792,49.865278,134.76,229.34,10.755893,1.6518,1.586,1.580740196
154805085,G14077727161936,10215584,294.814208,47.248472,217.89,332.18,10.58486,1.3001,1.086,1.296478766
154805119,G14059116025466,10610027,295.667083,47.892111,566.36,819.99,8.995814,1.9292,1.461,1.92853408
154807054,L14058720941789,10025841,297.087208,46.963139,201.98,347.47,10.689496,1.6836,1.562,1.682800334
154807115,G14058653331736,10024648,296.739583,46.950639,174.67,297.93,10.799806,2.0757,1.987,2.215348026
154808234,G14059415601584,10873176,296.36,48.240528,168.72,266.33,11.30921,2.0928,1.911,2.022367515
157203097,G14078145502458,10923629,293.501417,48.366444,174.82,176.73,9.768247,2.6717,2.469,2.582832762
157208191,G14076837035356,10351059,296.071583,47.419139,629.27,752.92,10.13906,1.9104,1.783,2.015348026
157210104,G14078692846354,10730618,291.627,48.093,306.67,393.76,10.378492,1.8202,1.774,1.906495755
157211187,G14061385484988,12069127,295.303292,50.565222,403.8,518.78,10.62211,2.3981,2.31,2.528569882
157212100,G14061524832451,11723674,296.832417,49.8355,52.99,91.38,11.37335,2.4963,2.444,2.567615348
158808005,G14064721133707,8915084,300.868208,45.130611,473.37,447.42,10.12763,1.6264,1.519,1.541776713
158814092,G14066076374056,9787965,298.058583,46.566083,220.66,365.81,11.345699,2.1309,2.036,2.098556378
158816142,G14066207111423,10491771,298.966792,47.678222,626.51,765.93,9.642373,1.5274,1.502,1.541801827
158908218,L14064348517065,8394589,300.464292,44.353917,755.11,941.19,9.49512,1.2353,1.188,1.280420161
158805053,G14063950986186,8776961,299.229708,44.937583,321.9,443.7,10.944163,1.7389,1.652,1.67320132
159602221,G14081787979751,5353186,288.911708,40.595056,190.48,254.9,11.376127,2.2706,2.164,2.215348026
159608173,G14083569623860,6603624,291.046708,42.052694,643.73,883.33,9.052308,1.1968,1.123,1.240831714
162211101,G14072420876350,7910848,297.8174951,43.665961,87.83,148.61,11.061601,1.7432,1.58,1.923042419
162211229,G14072345525317,7771282,297.370208,43.429583,155.57,254.16,10.715329,1.744,1.635,1.757774133
162215081,G14071694553175,7133688,296.1565,42.607278,153.62,227.21,11.066238,2.0166,1.93,2.271628634
161410248,G14032548458741,8012842,284.806,43.895222,149.55,231.72,10.596734,1.3471,1.277,1.413220895
161414025,G14032132673166,8802782,284.230083,45.085972,84.6,150.85,11.6583,2.4244,2.343,2.271628634
161416033,G14030150373893,9266926,284.666083,45.796583,76.1,149.07,11.267387,1.5328,1.418,1.403432254
161416184,G14030124940882,9005973,285.099792,45.317917,79.04,175,11.456632,1.4563,1.391,1.51000135
238006193,G14030259023679,9451741,285.2117501,46.0213611,284.02,397.01,11.026691,1.4089,1.241,1.441808358
238008056,G14030091182401,9696358,284.593708,46.449778,296.32,441.35,11.676669,2.2174,2.068,2.582832762
241009037,G14078182746449,10732098,292.197083,48.037611,236.44,385.65,11.632436,1.7974,1.743,1.974365831
247601240,G14087438648516,7038145,293.1982257,42.5553247,189.32,285.6,11.540711,2.5967,2.441,2.582832762
247605203,G14087384844144,7611858,293.153583,43.286528,252.47,397.98,11.128435,1.6147,1.506,1.427388358
247608024,G14086174300901,8106950,295.014,43.998111,200.46,324.77,11.603995,1.8227,1.6,1.794861416
241015188,G14078553299001,10727922,290.544083,48.046722,61.22,73.45,11.167076,1.9971,1.835,2.022367515
241715026,G14071866187515,7383120,297.2375,42.975333,173.36,291.48,10.857173,1.5044,1.398,1.541776713
247615143,G14077366846887,9287845,294.5545,45.777306,260.32,365.98,10.956627,2.313,2.235,2.482832762
247615239,G14077309392441,9026685,293.549708,45.361528,251.44,407.06,11.049568,1.9208,1.732,1.883157869
243103011,G14026891501866,4346201,285.285917,39.498056,341.4,413.05,9.872071,2.1095,1.85,2.022367515
248605043,G14075453425793,11294717,290.636083,49.037556,239.53,348.5,11.814838,1.912,1.892,1.792899798
249204141,L14031426847963,10909629,286.19,48.359278,487.24,659.17,10.807463,2.2539,2.088,2.215348026
249205180,G14031596671516,10717090,285.396083,48.096139,89.21,114.04,11.075784,1.6405,1.484,1.659773706
249601064,G14074984996637,10972873,290.426417,48.443389,269.36,499.47,10.622383,1.8464,1.795,1.793644698
347110082,G14033421540123,9446628,282.044962,46.067874,115.33,163.37,10.557503,1.9461,1.847,2.271628634
351104176,G14031445154970,11127479,286.33835,48.744099,126.31,206.93,11.081732,1.4483,1.34,1.524199375
351108200,G14030918054707,10655953,287.6699,47.935853,77.83,109.23,10.648559,1.2716,1.226,1.296478766
350601061,G14074979620816,10972252,290.05948,48.42955,279.95,330.07,11.358195,2.4788,2.251,2.471628634
350601152,G14074954189491,11027406,290.71826,48.54089,308.9,362.01,10.323761,1.3676,1.295,1.369168685
347105041,G14030286969807,9390670,284.9310919,45.9604825,227.63,320.15,9.511572,1.8394,1.715,1.757774133
350901008,G14029983727012,9821513,287.08441,46.603569,144.92,181.97,10.985251,1.9705,1.646,2.098556378
350907185,G14078394188745,10398597,289.27032,47.56543,62.58,97.73,11.579268,2.0892,1.933,2.154554249
350608103,G14075352476878,11507653,292.02246,49.41589,218.97,319.79,11.34609,1.8157,1.595,1.838712732
350708018,G14075358160247,11611414,292.23163,49.647968,209.42,298.45,11.436677,1.7434,1.662,1.792899798
360111131,G14077604881290,10081026,294.14072,47.04496,147.19,216.99,11.131727,2.5041,2.303,2.582832762
360115230,G14077529245727,9093289,293.4744,45.480381,201.53,289.84,11.054542,1.5067,1.416,1.631700238
362003007,G14031698193374,7739672,286.31458,43.46262,487.8,629.04,10.872416,1.8423,1.714,1.878895949
359904055,G14085796782359,8696343,294.51831,44.815262,308.2,446.05,10.693599,1.2586,1.117,1.315408867
359906173,G14072332333785,8114155,297.12653,43.90144,94.55,151.82,11.227762,1.6537,1.501,1.67320132
359907064,G14085903634616,7376493,295.68683,42.921982,150.45,258.98,11.506587,1.5072,1.431,1.51000135
359910004,G14083766144818,8493800,291.26053,44.54549,224.17,354.8,10.665151,1.5311,1.459,1.565791727
359910198,G14083892352049,8027956,291.49377,43.861092,140.06,221.07,11.591023,1.7823,1.686,1.742472331
359911060,G14077771059193,9778067,294.82724,46.562859,139.8,216.17,11.542816,2.0382,1.906,1.974365831
363410178,G14029923940355,9579208,287.6376,46.204411,252.34,305.12,10.331029,1.8491,1.738,1.67320132
