obsid,uid,KIC,ra,dec,SNR_g,SNR_r,Gaiamag,R_Gaia,R_Kepler,R_TranSR-Net
52503209,G14082333372573,4554830,289.708917,39.682333,359.34,507.62,10.295942,1.4651,1.35,1.4872
52506212,G14080029758290,2998253,293.291417,38.107306,266.92,345.52,10.530794,1.503,1.4,1.5203
52801142,G14072506695103,3456181,294.5445,38.516861,130.4,221.47,9.565396,2.1705,2.12,2.2716
52806090,G14073505779907,4672403,296.161708,39.781889,99.27,171.33,11.178277,1.8902,1.8,1.9744
52808184,G14072616185625,3967859,294.967417,39.047667,116.21,197.82,10.537471,1.2818,1.33,1.2603
52902090,G14080951339665,3344897,292.107792,38.492333,72.14,119.32,10.703422,2.3387,2.34,2.3906
52201040,G14086516531216,7206837,293.765583,42.737944,52.21,71.58,9.706886,1.6553,1.56,1.775
52203146,G14077319728848,9025370,293.060917,45.310694,325.97,512,8.78071,1.3703,0.96,1.0442
52204087,G14086195507400,8241455,294.657917,44.176361,158.02,244.18,10.444975,2.6226,2.45,2.7676
52207201,G14085913923272,7296438,295.872292,42.881139,118.85,198.09,10.04943,1.3953,1.3,1.4601
52209034,G14085428946653,9163769,295.3275,45.543778,105.87,167.44,10.054579,1.6293,1.53,1.6317
52209124,G14076892661053,9289275,295.0945,45.776694,151.26,276.88,9.59918,1.8389,1.78,2.0224
52211128,G14077568489705,9955598,293.679208,46.85275,84.31,149.08,9.398465,0.9119,0.87,0.9446
52211167,G14077574521570,10100000,293.469917,47.045722,72.4,102.26,9.996253,1.2011,1.15,1.315
52215134,G14077375098200,9225600,294.637183,45.692383,64.91,100.05,10.752236,1.9635,1.78,1.9744
52215153,G14077556223883,9468847,293.434292,46.075,69.69,112.62,10.422859,1.8742,1.79,1.9163
52403092,G14083023174203,4049576,289.449917,39.187139,197.77,285.13,11.416161,2.0413,2.05,1.9744
52403103,G14082335675970,4646780,289.370708,39.799056,331.5,436.05,10.807217,1.9751,1.92,1.923
52404180,G14080331043230,3952580,291.020417,39.016444,119.53,429.69,10.176231,3.012,2.79,3.0106
52408161,G14080997638601,3236382,291.776917,38.343833,337.48,304.01,9.691223,1.6773,1.64,1.7425
52413001,G14085279427614,4842436,293.727708,39.907333,109.23,164.53,11.301325,1.6425,1.5,1.6828
52413118,G14085291041680,4841753,293.525208,39.991194,104.19,150.76,11.651439,2.2496,2.07,2.2153
52415020,G14080305527558,5095850,290.750417,40.216278,160.81,251.85,11.348707,2.4179,2.27,2.4828
52501098,G14080620400406,1430163,290.888417,37.089361,334.15,462.36,9.504402,1.5063,1.49,1.5418
154003233,G14081201269267,6853020,288.673417,42.342667,352.71,458.08,10.645224,2.1636,2.01,2.2153
154008016,G14087121286052,6689943,291.352792,42.123556,477.88,753.91,10.198229,1.5687,1.51,1.6317
154008124,G14087180187282,6363365,291.594083,41.742278,143.85,167.14,11.162436,1.3949,1.41,1.3154
154008150,G14087112084175,6605673,291.672417,42.061528,302.59,394.48,10.971558,1.6532,1.71,1.7579
154011249,G14076109572862,8491374,290.3945,44.592611,267.76,369.23,10.568746,2.0345,1.95,2.1546
154811205,G14061376198568,12100000,295.251292,50.694861,195.36,321.04,10.465992,1.3545,1.33,1.4058
154814185,G14078203031133,11100000,292.137708,48.700667,223.24,363.27,10.715726,2.4547,2.35,2.4676
154816009,G14075234430265,11700000,292.257792,49.865278,134.76,229.34,10.755893,1.6518,1.62,1.5807
154816121,G14057934965929,11900000,294.391083,50.249,232.72,340.54,10.551485,2.346,2.29,2.2716
154805085,G14077727161936,10200000,294.814208,47.248472,217.89,332.18,10.58486,1.3001,1.12,1.2965
154805119,G14059116025466,10600000,295.667083,47.892111,566.36,819.99,8.995814,1.9292,1.47,1.9285
154807054,L14058720941789,10000000,297.087208,46.963139,201.98,347.47,10.689496,1.6836,1.5,1.6828
154807115,G14058653331736,10000000,296.739583,46.950639,174.67,297.93,10.799806,2.0757,2.01,2.2153
154808234,G14059415601584,10900000,296.36,48.240528,168.72,266.33,11.30921,2.0928,2.15,2.0224
154811067,G14061388179219,12000000,295.848583,50.354944,82.8,142.88,10.656967,1.4197,1.35,1.6732
157203097,G14078145502458,10900000,293.501417,48.366444,174.82,176.73,9.768247,2.6717,2.42,2.5083
157208191,G14076837035356,10400000,296.071583,47.419139,629.27,752.92,10.13906,1.9104,1.81,2.0153
157211187,G14061385484988,12100000,295.303292,50.565222,403.8,518.78,10.62211,2.3981,2.22,2.5286
157212100,G14061524832451,11700000,296.832417,49.8355,52.99,91.38,11.37335,2.4963,2.46,2.7676
158808005,G14064721133707,8915084,300.868208,45.130611,473.37,447.42,10.12763,1.6264,1.51,1.5418
158814092,G14066076374056,9787965,298.058583,46.566083,220.66,365.81,11.345699,2.1309,2.02,2.0986
158816142,G14066207111423,10500000,298.966792,47.678222,626.51,765.93,9.642373,1.5274,1.53,1.5418
158908218,L14064348517065,8394589,300.464292,44.353917,755.11,941.19,9.49512,1.2353,1.18,1.2804
158805053,G14063950986186,8776961,299.229708,44.937583,321.9,443.7,10.944163,1.7389,1.71,1.6732
158916215,G14058759029150,10300000,297.4717,47.399947,443.97,566.62,9.912486,2.2221,2.05,2.2153
159602221,G14081787979751,5353186,288.911708,40.595056,190.48,254.9,11.376127,2.2706,2.29,2.2153
159608173,G14083569623860,6603624,291.046708,42.052694,643.73,883.33,9.052308,1.1968,1.14,1.2408
162211101,G14072420876350,7910848,297.8174951,43.665961,87.83,148.61,11.061601,1.7432,1.56,1.923
162211229,G14072345525317,7771282,297.370208,43.429583,155.57,254.16,10.715329,1.744,1.65,1.7578
162215081,G14071694553175,7133688,296.1565,42.607278,153.62,227.21,11.066238,2.0166,1.89,2.2716
161409213,G14075729786444,8420801,287.679417,44.49875,196.67,265.89,10.98008,1.8285,1.74,1.923
161410248,G14032548458741,8012842,284.806,43.895222,149.55,231.72,10.596734,1.3471,1.25,1.4132
161414025,G14032132673166,8802782,284.230083,45.085972,84.6,150.85,11.6583,2.4244,2.29,2.2716
161416033,G14030150373893,9266926,284.666083,45.796583,76.1,149.07,11.267387,1.5328,1.51,1.4034
161416184,G14030124940882,9005973,285.099792,45.317917,79.04,175,11.456632,1.4563,1.45,1.51
238006193,G14030259023679,9451741,285.2117501,46.0213611,284.02,397.01,11.026691,1.4089,1.32,1.4418
238008056,G14030091182401,9696358,284.593708,46.449778,296.32,441.35,11.676669,2.2174,2.1,2.5828
241005141,G14076057391365,9402223,291.0915,45.971722,518.97,697.79,10.298489,2.7125,2.6,2.7676
241009037,G14078182746449,10700000,292.197083,48.037611,236.44,385.65,11.632436,1.7974,1.73,1.9744
247601240,G14087438648516,7038145,293.1982257,42.5553247,189.32,285.6,11.540711,2.5967,2.41,2.5828
247604184,G14085855559106,8435400,293.605208,44.4315,282.94,436.59,11.361443,2.532,2.34,2.4828
247605203,G14087384844144,7611858,293.153583,43.286528,252.47,397.98,11.128435,1.6147,1.53,1.4274
247608024,G14086174300901,8106950,295.014,43.998111,200.46,324.77,11.603995,1.8227,1.73,1.7949
241011112,G14075434388073,11500000,291.136083,49.366083,331.22,458.16,10.268551,1.2597,1.22,1.3196
